route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
klaipeda_bus_M6_TOKS,160341,AM6-01-6-251224-ab-0950,Maršrutinis taksi Melnragė,0,642738,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-02-6-251224-ab-1010,Maršrutinis taksi Melnragė,0,642739,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-07-6-251224-ab-1020,Maršrutinis taksi Melnragė,0,642742,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-03-6-251224-ab-1030,Maršrutinis taksi Melnragė,0,642740,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-04-6-251224-ab-1050,Maršrutinis taksi Melnragė,0,642741,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-05-6-251224-ab-1100,Maršrutinis taksi Melnragė,0,642736,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-06-6-251224-ab-1110,Maršrutinis taksi Melnragė,0,642737,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-01-6-251224-ab-1120,Maršrutinis taksi Melnragė,0,642738,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-02-6-251224-ab-1140,Maršrutinis taksi Melnragė,0,642739,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-07-6-251224-ab-1150,Maršrutinis taksi Melnragė,0,642742,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-04-6-251224-ab-1210,Maršrutinis taksi Melnragė,0,642741,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-03-6-251224-ab-1220,Maršrutinis taksi Melnragė,0,642740,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-06-6-251224-ab-1240,Maršrutinis taksi Melnragė,0,642737,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-05-6-251224-ab-1250,Maršrutinis taksi Melnragė,0,642736,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-01-6-251224-ab-1310,Maršrutinis taksi Melnragė,0,642738,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-07-6-251224-ab-1320,Maršrutinis taksi Melnragė,0,642742,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-02-6-251224-ab-1330,Maršrutinis taksi Melnragė,0,642739,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-03-6-251224-ab-1340,Maršrutinis taksi Melnragė,0,642740,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-04-6-251224-ab-1400,Maršrutinis taksi Melnragė,0,642741,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-05-6-251224-ab-1410,Maršrutinis taksi Melnragė,0,642736,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-06-6-251224-ab-1430,Maršrutinis taksi Melnragė,0,642737,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-01-6-251224-ab-1440,Maršrutinis taksi Melnragė,0,642738,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-02-6-251224-ab-1450,Maršrutinis taksi Melnragė,0,642739,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-07-6-251224-ab-1510,Maršrutinis taksi Melnragė,0,642742,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160341,AM6-03-6-251224-ab-1520,Maršrutinis taksi Melnragė,0,642740,klaipeda_bus_M6_a-b,
